Ch_no,Ch_incipit (T32n1687),Skt_GRETIL_bsa045_no,Skt_incipit,Tib/Tsongkhapa_no,Quality,Note
11,由增上愚癡 而獲於現報,v11,īty upadrava-cauraiś ca graha-jvara-viṣādibhiḥ / mriyate 'sau mahāmūḍho gurupādābhinindakaḥ,v11,Split part 1 of 3; graha=惡曜執持; jvara/vyādhi=重病纏縛; 由增上愚癡 echoes mahāmūḍho + Tib 增上愚癡而命終
12,王法所逼切 及毒蛇傷螫,v12,rāja-vātānala-vyālair ḍākinī-jala-taskaraiḥ...,v12,Split part 2 of 3; rāja=王法 vyāla/viṣa=毒蛇 caura=賊 vāta-ānala≈水火(Ch adds 冤 enemies); ḍākinī≈非人
13,彼頻那夜迦 常作諸障礙 從此而命終 即墮於惡趣,v12cd,"vighnair vināyakaiś cāpi mārito narakaṃ vrajet",v12cd,Split part 3 of 3; vināyaka=頻那夜迦 vighna=諸障礙 mṛto=命終 naraka=惡趣; NET +1 quatrain from splitting Skt vv.11-12
14,勿令阿闍黎 少分生煩惱,v13,na kuryāc citta-saṃkṣobham ācāryasya kadācana...,v13,Full; never disturb guru's mind → Avīci hell (阿鼻)
15,受種種極苦 說之深可怖,v14,narakā ye samākhyātā avīcyādyā bhayānakāḥ...,v14,Full; fearful hells beginning with Avīci; dwelling there through reviling the ācārya
16,彼阿闍黎者 弘持正法藏 是故當一心 輒莫生輕毀,v15,tasmāt sarva-prayatnena vajrācāryaṃ mahāgurum / pracchanna-vara-kalyāṇaṃ nāvamanyet kadācana,v15,Full with recast; Ch motivates by 弘持正法藏 (upholding Dharma treasury); Skt has pracchanna-vara-kalyāṇa (concealed vessel of excellence)
17,常於阿闍黎 承事而供養 發生尊重心 則蠲除障惱,v16,yatheṣṭa-dakṣiṇā-dānād gurubhaktaṃ sagauravam / uktā jvarādayas tāpā na bhūyaḥ prabhavanti hi,v16,Partial-generalized; dakṣiṇā/jvara SPECIFICS absent but verse PRESENT: offerings+respect → obstacles/afflictions removed (蠲除障惱 ≈ jvarādayas tāpā na prabhavanti); Tib v16 諸有恭敬供上師…從此熾然等侵害當來亦令不出生 confirms slot; answers Task-2 claim: NOT missing
18,又復於師所 樂行於喜捨 不恡於己身 何況於財物,v17,adeyaiḥ putra-dārādyair asubhir vā nijair api / sevyaḥ svasaṃvarācārya kiṃ punar vibhavaiś calaiḥ,v17,Full; serve with what is hard to give (wife/children/life) — how much more movable wealth
19,於無量億劫 勇猛勤修習 今始證菩提 斯極為希有,v18,yataḥ sudurlabhaṃ vastu kalpā-saṃkhyeya-koṭibhiḥ / buddhatvam udyogavate dadāti ha eva janmani,v18,Full; buddhahood rare across countless kalpas yet given in this life
20,善護其深誓 供養諸如來 恭敬阿闍黎 等同一切佛,v19,nityaṃ svasamayaḥ sādhyo nityaṃ pūjyās tathāgatāḥ / nityaṃ ca gurave deyaṃ sarvabuddhasamo hy asau,v19,Full; samaya+tathāgata-worship+guru-giving; guru equal to all Buddhas
21,若於己所有 最上諸珍玩 求無盡菩提 誠心而奉獻,v20,yad yad iṣṭataraṃ loke viśiṣṭataram eva vā / tat tad dhi gurave deyaṃ sadā evākṣayam icchatā,v20,Full; best possessions to guru by one seeking the inexhaustible (無盡菩提=akṣaya)
22,施佛阿闍黎 念念常增長 是最勝福田 速得菩提果,v21,datte 'smai sarva-buddhebhyo dattaṃ bhavati śāśvatam / tasmāc ca puṇya-saṃbhāraḥ saṃbhārād bodhir uttamā,v21,Full; giving to guru=giving to all Buddhas; merit field → bodhi
23,如是求法者 具戒忍功德 不虛誑於師 當獲金剛智,v22,te śiṣyāḥ karuṇotsarga-śīla-kṣānti-guṇānvitāḥ / ye nānyatvaṃ kalpayanti guror vajradharasya ca,v22,Partial; 具戒忍功德=śīla-kṣānti-guṇānvitā ✓; Ch 不虛誑於師 renders differently than nānyatvaṃ kalpayanti (no otherness conceived); Tib v22 不應觀為有別異
24,若足踏師影 獲罪如破塔 於床坐資具 騎驀罪過是,v23,caityabhaṅgādibhītyāpi guroś chāyāṃ na laṅghayet / pādukāsana-yānāder laṅghanasya tu kā kathā,v23,Full; shadow transgression = stūpa-breaking sin; shoes/seat/vehicle
25,若師所教誨 歡喜當聽受 自己或不能 則善言啟白,v24,śrūyād yatnād guror ājñāṃ hṛṣṭacitto mahāmatiḥ / aśaktaḥ śrāvayet tasma upapattyā tvaśaktitām,v24,Full; hear commands gladly; explain inability with reason
26,由依止師故 所作皆成就 現樂及生天 何敢違其命,v25,guroḥ siddhiṃ samāpnoti guroḥ sargaṃ guroḥ sukham...,v25,Full; siddhi/heaven/happiness from guru; do not transgress command
27,守護師財物 猶若己身命 於彼執侍人 如親常敬奉,v26,svātmavac ca guror dravyaṃ guruvac ca tad-aṅganām / svajanān iva tal lokān paśyen nityaṃ samāhitaḥ,v26,Partial recast; property like own life ✓; Ch 執侍人 (attendants) renders tad-aṅganām (his women/wife); Tib 上師眷屬如親屬 closer to Ch
28,不應於師前 覆頂及乘御 翹足手扠腰 安然而坐臥,v27,śayyā-rohana-agrayāna-uṣṇīṣādy-upabandhanam / na kuryād āsane pādaṃ kaṭihastaṃ ca sannidhau,v27,Full; bed-mounting/lead vehicle/headdress(uṣṇīṣa=覆頂)/feet on seat/hands on hips (kaṭihasta=扠腰)
29,或事緣令坐 勿舒於雙足 常具諸威儀 師起速當起,v28,suptena vā niṣaṇṇena na stheyam utthite gurau / dakṣaś cotsāhasampannas tat-kāryeṣu sadā bhavet,v28,Full-ish; rise quickly when guru rises ✓ diligence in his tasks ✓; Ch's stretched-legs clause anticipates next verse's pādaprasāraṇa
30,若於經行處 不應隨舉步 端謹立於傍 無棄於涕涶,v29,śleṣmādīnāṃ parityāgaḥ pādaprasāraṇaṃ tathā / caṅkramaṇaṃ vivādaṃ ca na kuryāt purato guroḥ,v29,Full; no spitting phlegm (śleṣman=涕涶 Taishō graph; Koryŏ block 唾), no stretching legs, no caṅkramaṇa(經行)/disputes before guru
31,亦勿於師前 私竊而言說 及隣近語笑 歌舞作唱等,v30,saṃvāhanaṃ nartanaṃ ca na gānaṃ na ca bādanam / bahu-saṃlapanaṃ cāpi na kuryāt purato guroḥ,v30,Full; dancing(nartana=舞) singing(gāna=唱) laughing/talking(bahu-saṃlapana=私竊言說·鄰近語笑)
32,或令坐或起 各安徐禮敬 若於險路中 白已作前導,v31,natvāsanāt samuttheyaṃ niṣattavyaṃ ca bhaktitaḥ / niśyapsu sabhaye mārge prārthyāgre gamanaṃ caret,v31,Full; reverent rising/sitting; on frightening road (sabhaye mārge=險路) go ahead after informing (prārthyā=白已)
33,又不應於前 身現疲勞相 屈指節作聲 倚柱及牆壁,v32,nāṅgāni cālayed dhīmān na jṛmbhādi samāśrayet / nāṅguli-sphoṭanaṃ kuryāt puraḥ paśyati śāstari,v32,Full; no moving body(疲勞相≈āṅgāni cālayet), finger-snapping sounds(aṅgulisphoṭana=屈指節作聲), leaning(samāśrayet=倚柱壁)
34,或浣衣濯足 及澡浴等事 先白師令知 所作無令見,v33,pādayoḥ kṣālanaṃ cāṅga-proñchābhyañjana-mardanam / pūrvaṃ praṇamya kartavyaṃ tataḥ kuryād yadādiśet,v33,DIVERGENT counterpart; Skt/Tib v33 = washing/massaging the GURU's feet/body after prostrating, when commanded; Ch reads own laundry/bathing done unseen after informing master; same slot, reversed object & purpose — likely translator misreading or different Vorlage
35,又復於師名 不應輒稱舉 設有固問者 當示之一字,v34,[āvhānādau guror nāmni pūjyapādādi yojayet / anyadā śraddhayā brūyāt sādarais tu viśeṣaṇaiḥ,v34,Full; ANSWERS Task-2 claim: naming rules PRESENT; Ch: never name him casually; if firmly asked reveal one syllable only (stricter than Skt honorific-epithet rule); Tib v34 若當稱說上師名名後隨行面前文
36,師或令幹集 當伺其遣使 於彼所作事 憶持常不忘,v35,ādiśyatām kariṣyāmi pravadet sāñjalir gurum / śrutvādeśaṃ cāvicālya yathādiṣṭaṃ tathā caret,v35,Loose counterpart; theme = executing guru's orders; Ch omits the "I shall do it" formula; adds being sent as messenger + unfailing memory (echoing v44 avismṛta motif)
37,或笑嗽伸㰦 則以手遮口 若有事啟聞 當曲躬軟語,v36,hāse kāse samutpanne kareṇācchādayen mukham / tad ante mṛdubhir varṇaiḥ svābhiprāyaṃ nivedayet,v36,Full; cover mouth at laughter/cough/yawn(jṛmbhādi cf. 伸㰦); report softly afterwards (mṛdubhir varṇaiḥ=軟語)
38,若在家女人 淨心來聽法 合掌具威儀 專視於師面,v37,vinītaḥ purato bhūyāt sajjo vastrādi-bandhanaiḥ / bhūjānuḥ sāñjaliḥ śrotruṃ yācayet tu trivārakam,v37,Partial recast; listening etiquette + joined palms shared; Ch specializes audience to laywomen and drops the threefold request (trivārakam) and knee-elbow posture detail
39,聞已當奉持 捨離於憍慢 常如初適嫁 低顏其慚𧹞,v38,satkāryaṃ sarvadā kuryān nirahaṅkāracetasā / trapayā pāpabhītyā saṃvṛto navavadhūriva,v38,Full; new-bride simile (navavadhūriva=初適嫁); modesty (trapayā=慚𧹞); egolessness (捨離憍慢=nirahaṅkāracetasā)
40,於彼嚴身具 無復生愛樂 與善非相應 皆思惟遠離,v39,na vilāsamayīṃ ceṣṭāṃ kuryāt śāstari saṃmukhe / anyac caivaṃvidhaṃ karma suparīkṣya tyajed bhṛśam,v39,Partial; vilāsa coquetry/adornment ≈ 嚴身具; abandon after scrutiny (suparīkṣya tyajet=思惟遠離)
41,常慕於師德 不應窺小過 隨順獲成就 求過當自損,—,—,—,NO SANSKRIT/TIBETAN COUNTERPART — Chinese-only INSERTION (+1); admire guru's virtues, never peer at faults; seeking faults harms oneself; thematically extends v22 (觀師為佛/頻頻防護尋過患心 per Tsongkhapa) and Ch v23
42,說法度弟子 曼拏羅護摩 城邑同師居 無旨不應作,v40,pratiṣṭhāyāṃ maṇḍale ca home vā śiṣya-saṃgrahe / ākhyānādau guror vāse nityaṃ kuryāc ca sannidhim,v40,Full; consecration/maṇḍala/homa/gathering disciples/preaching while residing where guru lives requires permission; Ch agrees with TIBETAN reading (未得許可不應作) over bsa045 (always remain present)
43,或說法所得 淨施諸財物 悉以奉其師 隨得而可用,v41,pratiṣṭhādau labhyate yat tat sarvaṃ gurave 'rpayet / tena dattaṃ ca gṛṇhīyāt svayaṃ cānyāṃś ca toṣayet,v41,Full; gains from teaching/consecration all offered to guru; use what he grants
44,同學及法裔 不應為弟子 亦不於師前 受承事禮敬,v42,guruśiṣye svaśiṣyatvaṃ na vidadhyāt kadācana / svaśiṣyaṃ vyāvṛttaṃ kuryāt satkārād er guroḥ puraḥ,v42,Full; fellow-student & guru's student not taken as disciple; no receiving honors/service before guru
45,若以物上師 二手持奉獻 師或有所施 當恭敬頂受,v43,ācāryo yat svayaṃ dadyād gurur vā yat pradāpayet / praṇamya dhīmatā grāhyaṃ baddhāñjalipuṭena tat,v43,Full; two-handed offering/receiving with bowed head
46,自專修正行 常憶持不忘 他或非律儀 愛語相教示,v44,avismṛtaḥ sarvacaryāṃ yatnāt kurvan svabāndhavān / avismṛter nirākuryāt premṇā hṛṣṭena cetasā,v44,Full; unfailing mindful conduct ✓ loving correction of dharma-friends (premṇā hṛṣṭena cetasā=愛語); Tib v44 同法違越自所行以歡喜心相勸阻
47,若師所教勅 或病緣不作 當作禮咨陳 斯則無其咎,v45,anujñāto guroḥ kāryaṃ śraddhālus tr nācaret yadi / rugṇas tv akuśale citte naivaṃ bhavati pāpabhāk,v45,Full; illness exemption from commands, report respectfully, no fault
48,常令師歡喜 離諸煩惱事 當勤而行之 恐繁故不述,v46,kim anyad gurutoṣāya yac chakyaṃ tat samācaret / caryā kāryā prayatnena na kadāpy avahelayet,v46,Full; whatever pleases guru diligently done; Ch closes with 恐繁故不述 mirroring kim anyad rhetorical closure
49,彼金剛如來 親如是宣說 及餘教所明 依師獲成就,v47,sarvathā sarvadā siddhir ācārya-yānugāminī / gurur vajradharasyokter ārādhyaḥ sarvavastubhiḥ,v47,Reframed; siddhi follows the ācārya ✓ Vajradhara-guru ✓; Ch recasts into scriptural-authority statement (proclaimed by Vajra-Tathāgata + other scriptures)
50,若弟子清淨 能歸依三寶 設使命將終 亦為宣法要,v48,śiṣyaḥ śuddhāśayo bhūtvā triratnaṃ śaraṇaṃ vrajet / guror adhītyānupaṭhet kuryād utsargam eva ca,v48,Partial; pure-minded disciple taking refuge ✓; Ch adds deathbed-teaching clause 設使命將終亦為宣法要 absent from Skt/Tib (Tib: give [the text] to such disciple for memorization)
51,及授祕密教 令作正法器 若現相誦持 當獲根本罪,v49,tato mantrādidānena kṛtvā saddharma-pātrakam / paṭhecca dhārayeccāpi mūlāpattīś caturdaśa,v49,Full; confer mantra → vessel of true Dharma (正法器=saddharmapātra) ✓ root downfalls (根本罪=mūlāpati); Ch OMITS the number fourteen (caturdaśa)
52,若能隨順師行學 則成一切諸功德 以我所集斯善因 願與眾生速成佛,v50,gurumanugata-śiṣyasya ... kuśalapadamanantaṃ tena vai sarvasatvāḥ ... susiddhiṃ labheyuḥ,v50,Closing dedication; 7-char lines both sides; dedication of merit to beings' swift buddhahood
